permission_group_name,manifest_path,manifest_type,priority
android.permission-group.COST_MONEY,cts/tests/AndroidManifest.xml,test,
android.permission-group.COST_MONEY,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.MESSAGES,frameworks/base/core/res/AndroidManifest.xml,core,360
android.permission-group.SOCIAL_INFO,frameworks/base/core/res/AndroidManifest.xml,core,320
android.permission-group.PERSONAL_INFO,frameworks/base/core/res/AndroidManifest.xml,core,310
android.permission-group.CALENDAR,frameworks/base/core/res/AndroidManifest.xml,core,290
android.permission-group.USER_DICTIONARY,frameworks/base/core/res/AndroidManifest.xml,core,170
android.permission-group.WRITE_USER_DICTIONARY,frameworks/base/core/res/AndroidManifest.xml,core,160
android.permission-group.BOOKMARKS,frameworks/base/core/res/AndroidManifest.xml,core,300
android.permission-group.DEVICE_ALARMS,frameworks/base/core/res/AndroidManifest.xml,core,210
android.permission-group.VOICEMAIL,frameworks/base/core/res/AndroidManifest.xml,core,280
android.permission-group.LOCATION,frameworks/base/core/res/AndroidManifest.xml,core,330
android.permission-group.NETWORK,frameworks/base/core/res/AndroidManifest.xml,core,270
android.permission-group.BLUETOOTH_NETWORK,frameworks/base/core/res/AndroidManifest.xml,core,260
android.permission-group.ACCOUNTS,frameworks/base/core/res/AndroidManifest.xml,core,200
android.permission-group.AFFECTS_BATTERY,frameworks/base/core/res/AndroidManifest.xml,core,180
android.permission-group.AUDIO_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,130
android.permission-group.HARDWARE_CONTROLS,frameworks/base/core/res/AndroidManifest.xml,core,260
android.permission-group.MICROPHONE,frameworks/base/core/res/AndroidManifest.xml,core,340
android.permission-group.CAMERA,frameworks/base/core/res/AndroidManifest.xml,core,350
android.permission-group.PHONE_CALLS,frameworks/base/core/res/AndroidManifest.xml,core,370
android.permission-group.STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,240
android.permission-group.SCREENLOCK,frameworks/base/core/res/AndroidManifest.xml,core,230
android.permission-group.APP_INFO,frameworks/base/core/res/AndroidManifest.xml,core,220
android.permission-group.DISPLAY,frameworks/base/core/res/AndroidManifest.xml,core,190
android.permission-group.WALLPAPER,frameworks/base/core/res/AndroidManifest.xml,core,150
android.permission-group.SYSTEM_CLOCK,frameworks/base/core/res/AndroidManifest.xml,core,140
android.permission-group.STATUS_BAR,frameworks/base/core/res/AndroidManifest.xml,core,110
android.permission-group.SYNC_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,120
android.permission-group.SYSTEM_TOOLS,frameworks/base/core/res/AndroidManifest.xml,core,100
android.permission-group.DEVELOPMENT_TOOLS,frameworks/base/core/res/AndroidManifest.xml,core,310
