permission_name,manifest_path,manifest_type,permissionGroup,protectionLevel,permissionFlags
com.android.cts.intent.sender.permission.SAMPLE,cts/hostsidetests/devicepolicy/app/IntentSender/AndroidManifest.xml,test,,signature,
android,developers/samples/android/content/contacts/BasicContactables/Application/src/main/AndroidManifest.xml,sample,,signature,
android,developers/build/prebuilts/gradle/BasicContactables/Application/src/main/AndroidManifest.xml,sample,,signature,
android,development/samples/browseable/BasicContactables/AndroidManifest.xml,sample,,signature,
com.android.smspush.WAPPUSH_MANAGER_BIND,frameworks/base/packages/WAPPushManager/AndroidManifest.xml,package,,signatureOrSystem,
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS,frameworks/base/packages/PrintSpooler/AndroidManifest.xml,package,,signature,
android.permission.START_PRINT_SERVICE_CONFIG_ACTIVITY,frameworks/base/packages/PrintSpooler/AndroidManifest.xml,package,,signature,
com.android.frameworks.coretests.permission.TEST_GRANTED,frameworks/base/core/tests/coretests/AndroidManifest.xml,test,,normal,
com.android.frameworks.coretests.permission.TEST_DENIED,frameworks/base/core/tests/coretests/AndroidManifest.xml,test,,normal,
com.android.frameworks.coretests.NORMAL,frameworks/base/core/tests/coretests/apks/install_decl_perm/AndroidManifest.xml,test,android.permission-group.COST_MONEY,normal,
com.android.frameworks.coretests.DANGEROUS,frameworks/base/core/tests/coretests/apks/install_decl_perm/AndroidManifest.xml,test,android.permission-group.COST_MONEY,dangerous,
com.android.frameworks.coretests.SIGNATURE,frameworks/base/core/tests/coretests/apks/install_decl_perm/AndroidManifest.xml,test,android.permission-group.COST_MONEY,signature,
test_permission,frameworks/base/core/tests/coretests/apks/install_complete_package_info/AndroidManifest.xml,test,,normal,
com.android.frameworks.coretests.keysets_permdef.keyset_perm,frameworks/base/core/tests/coretests/apks/keyset/permDef/AndroidManifest.xml,test,,signature,
android.permission.SEND_SMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,costsMoney
android.permission.SEND_RESPOND_VIA_MESSAGE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,signature|system,
android.permission.RECEIVE_SMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,
android.permission.RECEIVE_MMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,
android.permission.CARRIER_FILTER_SMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,signature|system,
android.permission.RECEIVE_EMERGENCY_BROADCAST,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,signature|system,
android.permission.READ_CELL_BROADCASTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,
android.permission.READ_SMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,
android.permission.WRITE_SMS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,
android.permission.RECEIVE_WAP_PUSH,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,dangerous,
android.permission.RECEIVE_BLUETOOTH_MAP,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MESSAGES,signature|system,
android.permission.READ_CONTACTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SOCIAL_INFO,dangerous,
android.permission.WRITE_CONTACTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SOCIAL_INFO,dangerous,
android.permission.BIND_DIRECTORY_SEARCH,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,signature|system,
android.permission.READ_CALL_LOG,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SOCIAL_INFO,dangerous,
android.permission.WRITE_CALL_LOG,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SOCIAL_INFO,dangerous,
android.permission.READ_SOCIAL_STREAM,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SOCIAL_INFO,dangerous,
android.permission.WRITE_SOCIAL_STREAM,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SOCIAL_INFO,dangerous,
android.permission.READ_PROFILE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,dangerous,
android.permission.WRITE_PROFILE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,dangerous,
android.permission.BODY_SENSORS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,signature,
android.permission.READ_CALENDAR,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,dangerous,
android.permission.WRITE_CALENDAR,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PERSONAL_INFO,dangerous,
android.permission.READ_USER_DICTIONARY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.USER_DICTIONARY,dangerous,
android.permission.WRITE_USER_DICTIONARY,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.WRITE_USER_DICTIONARY,normal,
com.android.browser.permission.READ_HISTORY_BOOKMARKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.BOOKMARKS,dangerous,
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.BOOKMARKS,dangerous,
com.android.alarm.permission.SET_ALARM,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.DEVICE_ALARMS,normal,
com.android.voicemail.permission.ADD_VOICEMAIL,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.VOICEMAIL,dangerous,
com.android.voicemail.permission.WRITE_VOICEMAIL,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.VOICEMAIL,system|signature,
com.android.voicemail.permission.READ_VOICEMAIL,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.VOICEMAIL,system|signature,
android.permission.ACCESS_FINE_LOCATION,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.LOCATION,dangerous,
android.permission.ACCESS_COARSE_LOCATION,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.LOCATION,dangerous,
android.permission.ACCESS_MOCK_LOCATION,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,dangerous,
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,normal,
android.permission.INSTALL_LOCATION_PROVIDER,frameworks/base/core/res/AndroidManifest.xml,core,,signature|system,
android.permission.HDMI_CEC,frameworks/base/core/res/AndroidManifest.xml,core,,signatureOrSystem,
android.permission.LOCATION_HARDWARE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.LOCATION,signature|system,
android.permission.INTERNET,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,dangerous,
android.permission.ACCESS_NETWORK_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,normal,
android.permission.ACCESS_WIFI_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,normal,
android.permission.CHANGE_WIFI_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,dangerous,
android.permission.READ_WIFI_CREDENTIAL,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,signature|system,
android.permission.ACCESS_WIMAX_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,normal,
android.permission.CHANGE_WIMAX_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,dangerous,
android.permission.SCORE_NETWORKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,signature|system,
android.permission.BLUETOOTH,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.BLUETOOTH_NETWORK,dangerous,
android.permission.BLUETOOTH_ADMIN,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.BLUETOOTH_NETWORK,dangerous,
android.permission.BLUETOOTH_PRIVILEGED,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.BLUETOOTH_NETWORK,system|signature,
android.permission.BLUETOOTH_MAP,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.BLUETOOTH_NETWORK,signature,
android.permission.BLUETOOTH_STACK,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.NFC,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,dangerous,
android.permission.CONNECTIVITY_INTERNAL,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,signature|system,
android.permission.RECEIVE_DATA_ACTIVITY_CHANGE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,signature|system,
android.permission.LOOP_RADIO,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.NETWORK,signature|system,
android.permission.NFC_HANDOVER_STATUS,frameworks/base/core/res/AndroidManifest.xml,core,,signature|system,
android.permission.GET_ACCOUNTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.ACCOUNTS,normal,
android.permission.AUTHENTICATE_ACCOUNTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.ACCOUNTS,dangerous,
android.permission.USE_CREDENTIALS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.ACCOUNTS,dangerous,
android.permission.MANAGE_ACCOUNTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.ACCOUNTS,dangerous,
android.permission.ACCOUNT_MANAGER,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.ACCOUNTS,signature,
android.permission.CHANGE_WIFI_MULTICAST_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.AFFECTS_BATTERY,dangerous,
android.permission.VIBRATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.AFFECTS_BATTERY,normal,
android.permission.FLASHLIGHT,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.AFFECTS_BATTERY,normal,
android.permission.WAKE_LOCK,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.AFFECTS_BATTERY,normal,
android.permission.TRANSMIT_IR,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.AFFECTS_BATTERY,normal,
android.permission.MODIFY_AUDIO_SETTINGS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.AUDIO_SETTINGS,normal,
android.permission.MANAGE_USB,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.HARDWARE_CONTROLS,signature|system,
android.permission.ACCESS_MTP,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.HARDWARE_CONTROLS,signature|system,
android.permission.HARDWARE_TEST,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.HARDWARE_CONTROLS,signature,
android.permission.ACCESS_FM_RADIO,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.HARDWARE_CONTROLS,signature|system,
android.permission.NET_ADMIN,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.REMOTE_AUDIO_PLAYBACK,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.TV_INPUT_HARDWARE,frameworks/base/core/res/AndroidManifest.xml,core,,signatureOrSystem,
android.permission.CAPTURE_TV_INPUT,frameworks/base/core/res/AndroidManifest.xml,core,,signatureOrSystem,
android.permission.OEM_UNLOCK_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.ACCESS_PDB_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.RECORD_AUDIO,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.MICROPHONE,dangerous,
android.permission.CAMERA,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.CAMERA,dangerous,
