permission_group_name,manifest_path,manifest_type,priority
android.permission-group.COST_MONEY,cts/tests/tests/content/AndroidManifest.xml,test,
android.car.permission.CAR_INFORMATION,packages/services/Car/service/AndroidManifest.xml,package,
android.permission-group.CONTACTS,frameworks/base/core/res/AndroidManifest.xml,core,100
android.permission-group.CALENDAR,frameworks/base/core/res/AndroidManifest.xml,core,200
android.permission-group.SMS,frameworks/base/core/res/AndroidManifest.xml,core,300
android.permission-group.STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,900
android.permission-group.LOCATION,frameworks/base/core/res/AndroidManifest.xml,core,400
android.permission-group.PHONE,frameworks/base/core/res/AndroidManifest.xml,core,500
android.permission-group.MICROPHONE,frameworks/base/core/res/AndroidManifest.xml,core,600
android.permission-group.CAMERA,frameworks/base/core/res/AndroidManifest.xml,core,700
android.permission-group.SENSORS,frameworks/base/core/res/AndroidManifest.xml,core,800
