permission_name,manifest_path,manifest_type,permissionGroup,protectionLevel,permissionFlags
android.permission.ACCESS_DRM,packages/providers/DrmProvider/AndroidManifest.xml,package,,signature,
android.permission.INSTALL_DRM,packages/providers/DrmProvider/AndroidManifest.xml,package,,normal,
android.permission.ACCESS_DOWNLOAD_MANAGER,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.ACCESS_CACHE_FILESYSTEM,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signature,
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signature,
com.android.globalsearch.permission.RECEIVE_GLOBALSEARCH_LOG,packages/apps/GlobalSearch/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,signatureOrSystem,
com.android.launcher.permission.INSTALL_SHORTCUT,packages/apps/Launcher/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.UNINSTALL_SHORTCUT,packages/apps/Launcher/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.READ_SETTINGS,packages/apps/Launcher/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.WRITE_SETTINGS,packages/apps/Launcher/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.INSTALL_SHORTCUT,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.UNINSTALL_SHORTCUT,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher.permission.READ_SETTINGS,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
